claim_number,age_of_driver,safty_rating,annual_income,living_status,vehicle_category,vehicle_price,fraud
1177,38,71,36388,Own,Compact,24741.11566,0
12842,32,76,34657,Own,Medium,23115.71117,0
20372,43,80,37628,Rent,Large,9678.493314,1
22239,40,84,36875,Own,Large,17847.88697,0
6245,51,75,39318,Own,Medium,5525.999603,0
12446,40,94,36898,Own,Large,17050.032330000002,0
20965,43,42,37605,Rent,Large,17660.73781,0
5990,41,87,37131,Own,Large,12603.20874,0
27175,37,80,36099,Rent,Large,19402.26936,0
7244,49,81,38923,Own,Large,19121.62048,0
4258,27,91,32944,Rent,Compact,17118.61914,0
22877,52,73,39510,Own,Medium,14486.84854,0
6526,58,84,40610,Own,Medium,5161.193658,0
10104,41,91,37135,Rent,Medium,48692.09794,0
5696,55,75,40080,Rent,Compact,30160.03428,0
966,28,90,33350,Rent,Compact,46289.53349,0
26324,50,81,39121,Own,Compact,39298.99678,0
29246,48,64,38720,Own,Large,30352.49246,0
8574,26,87,32584,Own,Large,17420.59894,0
18082,35,67,35559,Own,Medium,15656.83686,0
16927,58,94,40610,Rent,Medium,17253.19412,0
9959,54,31,39896,Rent,Large,27270.89935,0
8693,58,52,40592,Rent,Compact,16672.36361,0
16777,24,96,31792,Rent,Compact,39246.454710000005,0
2191,55,64,40068,Own,Compact,17756.348159999998,0
4804,21,57,30451,Own,Medium,25926.15317,0
11782,49,88,38919,Rent,Large,37461.06416,0
13397,41,72,37147,Own,Large,20737.12354,0
20270,26,72,32576,Rent,Large,20253.92717,1
23061,53,75,39698,Rent,Large,10930.53047,0
20981,49,87,38913,Rent,Medium,19340.63197,0
18410,41,81,37126,Own,Large,29996.96242,0
20571,47,49,38487,Own,Medium,8566.822986,0
17094,56,50,40252,Own,Medium,40274.4307,0
4259,58,70,40582,Own,Compact,16918.706869999998,0
19714,36,45,35827,Rent,Medium,25452.91156,0
3283,50,53,39127,Own,Large,25495.15638,0
13057,32,76,34653,Rent,Medium,20750.21219,1
14876,73,79,42912,Own,Compact,22773.79083,0
20384,54,73,39895,Rent,Medium,14281.51565,0
10457,55,82,40077,Own,Compact,45990.36142,0
14597,53,81,39712,Own,Medium,30380.98541,0
6668,23,42,31337,Rent,Large,13706.53911,1
6049,34,84,35251,Own,Large,8928.955504000001,0
6689,23,63,31354,Rent,Large,4510.922949,0
11799,47,53,38486,Rent,Medium,31207.79027,0
26746,28,80,33327,Rent,Large,13021.91313,0
29042,41,74,37137,Rent,Large,42648.58196,0
16361,41,75,37119,Rent,Medium,8422.923131,0
24013,41,75,37124,Own,Large,25663.21802,0
1113,37,79,36104,Own,Large,36563.92481,1
1992,37,51,36116,Own,Medium,14177.11732,0
27681,53,79,39699,Own,Compact,18437.9751,0
857,60,75,40934,Own,Large,26601.71137,0
7138,80,84,43817,Own,Large,27799.70049,0
17475,59,93,40779,Rent,Medium,46521.61883,0
17943,34,61,35273,Own,Compact,18105.99322,0
26152,28,88,33313,Rent,Medium,12156.18933,0
24721,49,81,38934,Rent,Compact,7397.632485999999,0
5246,34,69,35268,Own,Compact,9716.727443000002,0
22499,53,90,39712,Rent,Large,33374.73331,0
14630,62,77,41271,Rent,Medium,7268.446565,0
24864,33,68,34957,Rent,Medium,35384.11101,0
26029,59,70,40758,Rent,Compact,19761.42359,0
5642,41,75,37150,Own,Compact,18000.08787,0
14652,23,79,31364,Rent,Compact,46162.93206,0
11880,51,76,39328,Own,Large,31594.11207,0
29053,49,65,38911,Own,Medium,26562.74625,1
6040,54,91,39880,Rent,Large,25179.62933,0
24852,29,67,33661,Rent,Compact,32466.60357,0
4662,43,66,37621,Rent,Medium,25251.11288,0
8084,68,93,42198,Rent,Medium,13978.0275,0
8804,49,91,38929,Own,Compact,29923.24249,0
11626,31,62,34343,Rent,Compact,20088.5583,0
26015,40,58,36874,Rent,Compact,11502.01809,0
4207,54,73,39894,Rent,Compact,9950.998639,0
20145,37,71,36111,Own,Large,15342.496469999998,1
25315,35,33,35540,Rent,Compact,46245.94005,0
6821,31,69,34345,Rent,Medium,22119.0484,0
9094,51,87,39317,Rent,Medium,22312.35307,0
19547,52,88,39526,Rent,Large,6371.89061,0
3673,20,79,29962,Rent,Compact,25601.57247,1
21906,31,86,34360,Rent,Compact,23788.98335,0
23793,49,87,38910,Own,Compact,17617.36463,0
23932,35,87,35566,Own,Large,5135.534658,0
6502,54,84,39881,Own,Large,9031.398933,0
11463,40,87,36893,Own,Large,9138.439338,0
29074,63,64,41437,Own,Medium,18674.7428,0
27237,46,99,38287,Own,Medium,4854.348168,1
26867,52,85,39522,Own,Compact,29435.62278,0
6396,35,88,35550,Rent,Large,16752.88491,0
6828,42,96,37384,Rent,Large,47503.122460000006,0
407,38,69,36376,Rent,Medium,24844.29095,1
18993,39,69,36653,Rent,Compact,18649.3918,0
8618,45,38,38061,Own,Large,28287.72412,0
15393,34,70,35289,Own,Large,29032.55956,0
278,65,28,41743,Rent,Large,9196.361108,0
6277,38,56,36402,Own,Large,8235.292709000001,0
28518,50,73,39128,Own,Medium,16276.26901,0
1764,44,43,37852,Own,Compact,39425.7326,0
27866,47,96,38504,Rent,Large,14407.8537,0
19172,55,65,40081,Rent,Medium,8301.127966,0
17614,32,61,34681,Own,Compact,14910.1402,1
5436,40,40,36894,Own,Medium,29066.795810000003,0
620,44,63,37824,Own,Large,13786.79561,0
7717,37,89,36105,Rent,Large,17740.64863,0
16123,51,70,39314,Rent,Compact,31196.452460000004,0
20453,30,63,34011,Own,Large,45649.87603,0
830,50,79,39135,Own,Medium,12100.23945,0
16914,36,74,35841,Rent,Large,21162.79305,0
18522,50,93,39124,Own,Medium,25262.30961,0
7636,27,83,32979,Rent,Compact,36507.38526,0
16744,64,57,41576,Rent,Large,27379.5399,0
8303,43,65,37604,Own,Compact,31034.28579,0
165,53,57,39692,Rent,Medium,34238.30965,0
23124,44,77,37848,Own,Large,17930.778980000003,0
20237,38,78,36386,Own,Medium,12358.65329,0
20778,35,85,35546,Own,Medium,16977.676040000002,1
20040,43,73,37609,Own,Medium,11362.94343,0
12571,37,87,36098,Rent,Large,8385.405861,0
28273,38,84,36380,Own,Compact,45972.08809,0
3779,51,81,39339,Rent,Large,25496.11771,0
13014,30,94,34024,Own,Large,16649.14415,0
16172,32,83,34659,Own,Compact,8678.408248,0
22394,56,77,40260,Own,Medium,11227.93904,0
8874,53,78,39707,Rent,Large,26651.05775,0
25133,38,77,36376,Rent,Large,14412.94127,1
14854,42,66,37393,Own,Large,18242.19365,1
3856,48,74,38714,Own,Compact,14420.86684,1
29671,44,79,37850,Own,Compact,33967.744060000005,0
15378,30,92,34012,Own,Compact,13032.57784,1
6878,54,82,39879,Own,Medium,14705.16004,0
17193,49,87,38918,Rent,Medium,33026.24693,0
24125,30,75,34025,Rent,Large,22970.87061,0
9951,43,64,37618,Own,Large,26085.31958,0
4199,50,95,39124,Rent,Compact,14723.00013,0
9631,49,73,38915,Own,Compact,27307.74148,1
3183,70,43,42465,Rent,Medium,18568.96701,0
27878,65,57,41751,Rent,Large,34110.96886,0
16505,40,67,36901,Own,Compact,29205.249710000004,0
7124,49,92,38930,Rent,Compact,11866.95795,0
1462,48,76,38707,Own,Compact,29826.62982,1
3174,42,75,37373,Own,Large,34468.58395,0
19162,44,72,37843,Rent,Compact,28961.11775,0
9208,56,80,40252,Rent,Medium,55129.76323,0
28425,48,81,38691,Own,Large,7040.350214,0
8553,58,83,40594,Own,Large,16764.725469999998,0
4547,49,83,38923,Own,Compact,10496.648990000002,1
8179,41,94,37127,Rent,Compact,46889.38191,0
21738,47,88,38495,Own,Compact,37612.00587,0
1274,57,72,40422,Rent,Compact,16091.15399,1
28596,82,57,44063,Rent,Compact,22290.78893,0
17763,48,94,38717,Own,Compact,19679.72583,0
13842,57,79,40435,Own,Compact,23130.70704,0
6388,36,82,35838,Own,Large,38161.53782,0
16969,72,50,42764,Own,Compact,19026.6411,0
9608,42,78,37375,Own,Compact,6522.87492,0
25409,31,68,34334,Own,Compact,15024.09003,0
24271,47,84,38501,Own,Medium,20323.33766,0
8245,26,85,32599,Rent,Large,47541.46504,0
11454,35,67,35547,Own,Compact,32611.73849,0
24095,31,88,34318,Rent,Compact,19414.81274,0
19680,42,77,37387,Rent,Medium,39301.58241,0
21658,43,69,37618,Rent,Compact,7918.421718,1
5071,40,55,36880,Rent,Medium,26312.27363,0
17980,38,81,36375,Own,Medium,33185.8788,0
21558,44,84,37831,Rent,Medium,25032.32109,0
23989,46,68,38277,Own,Compact,28759.81163,0
10696,79,79,43705,Rent,Large,52548.97294,0
10326,52,92,39501,Rent,Medium,25943.13432,0
7856,41,87,37139,Own,Compact,25538.49206,0
6792,40,81,36887,Own,Medium,17930.16822,1
23081,48,98,38715,Own,Large,19854.52205,0
5877,43,64,37621,Own,Compact,22739.44995,0
9597,39,74,36632,Own,Large,21781.152,0
4870,23,61,31355,Rent,Medium,39810.3578,1
27578,69,79,42357,Rent,Large,18316.87297,0
18818,43,91,37601,Rent,Medium,32562.75099,1
12443,64,83,41586,Rent,Compact,28501.41624,0
20001,56,86,40245,Own,Compact,37138.00712,0
484,36,82,35837,Rent,Medium,24448.11254,0
3409,40,69,36895,Rent,Medium,16496.6202,1
29419,49,79,38928,Own,Compact,26382.24891,0
6022,58,92,40599,Rent,Medium,8572.353191,0
17718,36,82,35829,Own,Large,4530.260578,0
19549,28,82,33311,Own,Compact,20144.54576,0
3144,42,74,37383,Own,Large,29430.76075,0
17630,43,65,37607,Rent,Compact,39938.46049,0
7787,47,79,38497,Own,Medium,23841.50388,0
29922,45,69,38074,Rent,Compact,8049.028386,0
18949,50,87,39123,Rent,Medium,43465.64201,0
8074,44,81,37850,Rent,Compact,19129.13991,0
11016,41,25,37132,Own,Compact,23160.57987,0
23733,61,62,41111,Own,Compact,8287.190493,0
26419,38,88,36371,Own,Large,17824.46079,0
19278,43,25,37615,Own,Compact,21332.13744,0
7302,31,72,34335,Own,Medium,20488.85474,1
306,41,74,37127,Rent,Large,9657.022189,1
5041,45,46,38076,Own,Medium,8741.631456000001,0
13354,28,57,33346,Rent,Compact,24501.16538,0
3113,57,73,40444,Rent,Medium,23448.75947,0
599,43,91,37621,Rent,Compact,29200.02789,0
16845,39,91,36623,Own,Compact,26555.00169,0
17607,43,83,37604,Own,Large,22504.94466,0
29069,50,73,39106,Own,Large,23504.26885,0
17488,45,50,38058,Own,Medium,20894.443580000003,0
8214,36,91,35834,Own,Large,14301.102319999998,0
3213,54,94,39877,Own,Medium,34421.45342,0
13387,38,86,36378,Own,Large,16009.36311,0
21303,58,68,40603,Own,Medium,25683.27184,0
27356,53,82,39715,Own,Large,16161.22016,0
8237,39,88,36615,Own,Large,29315.87068,0
12949,34,96,35274,Rent,Compact,44573.08815,0
26768,32,55,34664,Rent,Large,62969.47991,0
9321,24,16,31778,Rent,Large,20601.00631,1
528,62,87,41285,Rent,Large,22321.54863,0
21938,37,72,36109,Own,Medium,46651.00525,0
5715,44,71,37829,Own,Large,21865.71427,0
29969,54,77,39877,Own,Large,20664.09658,0
20489,47,73,38518,Own,Large,11800.41556,0
28430,56,85,40242,Own,Compact,35947.57776,0
8367,67,83,42057,Own,Large,50738.26215,0
24886,61,92,41127,Rent,Medium,6952.214347,0
5315,37,86,36114,Rent,Large,29740.32195,0
24246,52,84,39525,Own,Compact,40990.06379,0
630,32,90,34665,Own,Medium,6158.46212,0
22463,49,49,38929,Rent,Large,21377.34141,0
14586,33,72,34975,Own,Medium,18690.54128,1
19671,64,67,41578,Own,Compact,26014.83433,0
3053,77,80,43442,Own,Large,42222.66344,0
26786,51,59,39306,Own,Medium,30760.03174,1
15897,33,85,34974,Rent,Compact,34097.33499,0
5121,27,47,32954,Own,Compact,20949.35273,0
12593,56,66,40268,Own,Medium,28477.75166,0
3947,58,57,40616,Own,Medium,46342.53277,1
25769,41,64,37148,Rent,Medium,10607.6653,0
18456,32,70,34650,Own,Large,12511.37938,0
17549,55,60,40074,Rent,Medium,17407.54767,1
22622,46,82,38295,Rent,Medium,31197.68029,0
13467,28,71,33323,Rent,Large,31027.68793,0
5595,58,94,40616,Rent,Large,41315.31964,0
4384,39,83,36642,Own,Compact,11951.56956,0
21839,77,58,43445,Rent,Compact,33963.16373,0
8882,28,83,33337,Rent,Compact,17088.31312,0
1765,40,93,36881,Own,Compact,13192.34043,0
1039,46,70,38287,Own,Compact,15485.30389,0
3198,53,91,39715,Rent,Medium,29238.45004,0
4302,38,90,36373,Own,Medium,36475.43373,0
15862,38,53,36380,Own,Large,22333.64954,0
19296,47,83,38489,Own,Large,24095.62679,1
3726,50,39,39139,Rent,Medium,25723.02761,0
3534,58,55,40592,Own,Compact,7571.830158,0
19525,56,91,40248,Own,Large,20964.34014,0
23079,36,93,35838,Own,Large,24212.19533,0
25576,31,92,34341,Rent,Compact,12787.07746,0
24483,38,66,36360,Own,Large,15156.40675,0
15775,25,67,32181,Own,Large,27051.85033,0
25503,38,88,36389,Own,Large,36525.591210000006,1
12937,34,67,35268,Own,Medium,25724.08919,1
1480,29,66,33688,Rent,Medium,26424.64505,0
23245,43,76,37610,Rent,Medium,16163.76241,0
19033,41,88,37117,Own,Compact,19665.37581,0
24789,48,72,38698,Own,Compact,21168.92001,0
6713,55,83,40067,Own,Large,13021.63301,0
9000,52,54,39521,Own,Medium,45439.33789,0
15297,29,85,33678,Own,Compact,11398.71748,0
2384,46,77,38287,Own,Large,57836.81569,0
27911,50,79,39125,Own,Medium,51125.88493,0
20509,37,75,36110,Rent,Large,29505.173660000004,0
2161,29,60,33669,Rent,Compact,7058.646723999999,0
2302,30,71,34010,Own,Large,18199.54635,0
5469,42,84,37378,Own,Compact,10665.91043,0
16086,43,84,37599,Rent,Large,35634.972819999995,0
27697,56,73,40270,Own,Compact,18480.69785,0
9242,25,77,32199,Rent,Medium,18434.08972,0
10597,59,79,40792,Own,Medium,14019.3385,0
5531,38,32,36362,Own,Compact,18698.44765,0
147,33,77,34949,Own,Large,10421.51335,0
26698,52,68,39505,Own,Compact,11441.86242,0
10061,53,63,39699,Own,Medium,20423.23799,0
7970,64,97,41584,Own,Compact,7032.925041,0
10512,42,83,37378,Own,Medium,52432.53947,0
2698,43,90,37609,Own,Large,20360.35042,0
26374,58,82,40615,Rent,Medium,16419.5541,0
26333,75,81,43182,Own,Compact,16490.4866,1
17363,32,56,34657,Rent,Large,34559.72932,1
23104,53,85,39712,Own,Compact,36213.59114,0
22793,36,64,35825,Own,Large,20783.40928,0
2104,55,90,40081,Own,Compact,26783.70957,0
24065,54,85,39893,Rent,Compact,21683.65952,0
12757,36,68,35842,Rent,Medium,36093.96515,1
25918,45,69,38066,Own,Large,21592.15537,1
23461,55,46,40066,Rent,Large,25926.37756,0
6706,41,56,37148,Rent,Large,15831.93632,0
16259,29,87,33671,Rent,Large,19227.4998,0
9437,37,32,36109,Rent,Large,40171.82424,1
20420,44,75,37853,Rent,Medium,14488.919430000002,0
6418,61,33,41105,Own,Compact,24499.12247,0
1458,61,85,41111,Rent,Large,15120.53001,0
21776,44,76,37837,Own,Large,11343.28874,0
16747,59,76,40774,Rent,Large,49951.53772,0
28890,36,86,35825,Own,Medium,8937.953878,0
10269,33,85,34964,Rent,Large,18290.5868,0
15749,64,73,41578,Rent,Large,35138.34131,0
29724,37,94,36127,Own,Compact,5759.742892,1
29161,49,91,38924,Rent,Compact,50598.98651,0
27834,25,59,32180,Rent,Medium,35232.125510000005,0
18396,52,78,39535,Rent,Compact,12871.66641,0
3711,50,96,39128,Rent,Large,19667.53837,0
6911,56,83,40256,Rent,Medium,17419.68188,1
19500,38,78,36374,Own,Compact,21062.40571,0
13349,36,79,35852,Rent,Medium,11772.57301,0
29677,34,79,35271,Own,Medium,25839.77081,0
10156,52,72,39491,Rent,Large,23227.17027,0
6327,38,83,36392,Rent,Large,21459.21898,0
8537,43,85,37627,Own,Compact,10904.89134,0
10419,28,81,33315,Rent,Medium,10733.99536,0
20364,25,79,32204,Rent,Compact,24371.88972,0
9810,50,86,39113,Rent,Compact,25101.83606,0
16316,42,77,37384,Rent,Compact,22390.13139,0
10151,69,75,42339,Own,Compact,8649.559095,0
3288,61,86,41110,Own,Compact,50946.33337,0
19802,28,83,33316,Rent,Large,20209.86542,0
10891,98,85,45842,Own,Medium,14070.65211,1
23095,40,51,36883,Own,Compact,15805.24637,0
20062,40,92,36868,Own,Medium,25359.45418,1
16256,44,50,37847,Own,Medium,15432.36029,0
26953,47,64,38510,Rent,Large,14045.64451,0
21039,54,63,39892,Own,Compact,7319.564549,1
18322,41,80,37136,Rent,Large,19415.48077,0
26561,35,64,35560,Rent,Compact,14130.12776,0
3654,44,69,37845,Own,Medium,50866.4852,0
22828,63,85,41419,Rent,Large,34619.49153,0
29644,52,53,39516,Own,Large,23939.56248,0
16788,45,67,38053,Own,Large,26706.50058,0
16260,40,33,36904,Own,Medium,20811.34864,0
24753,55,58,40057,Own,Compact,17045.204980000002,0
19672,43,84,37614,Own,Medium,21607.41257,0
22254,49,80,38912,Rent,Large,46616.34195,0
29359,44,58,37830,Own,Large,23020.383380000003,0
8201,36,55,35842,Rent,Compact,22383.00885,1
15407,39,88,36624,Own,Medium,14501.14664,1
2715,49,69,38914,Own,Medium,41750.22116,0
28764,61,53,41125,Own,Medium,12596.99388,0
10026,36,74,35845,Own,Medium,44357.25108,0
26462,37,89,36114,Own,Compact,10179.77844,0
29906,39,85,36634,Own,Large,13128.92085,0
11524,45,71,38078,Own,Compact,12410.02217,0
8831,34,57,35265,Rent,Medium,9666.718709,0
833,41,55,37135,Own,Compact,27954.8202,0
12201,58,72,-1,Rent,Compact,16014.081880000002,0
7091,33,61,34948,Rent,Medium,26650.64144,0
6585,65,69,41754,Rent,Compact,34654.91904,0
18095,65,79,41738,Rent,Compact,38940.07573,1
13209,45,77,38074,Own,Large,33504.37059,1
6943,44,80,37858,Own,Large,29985.90389,0
11181,53,92,39706,Rent,Large,21951.28416,0
1392,47,73,38514,Own,Large,9717.208493,0
16215,46,83,38276,Own,Large,11193.2585,0
25497,35,88,35551,Rent,Compact,17680.02459,0
3000,39,83,36638,Rent,Compact,19836.03701,0
705,56,81,40262,Own,Large,15779.02,0
20830,57,88,40400,Rent,Medium,18806.75563,0
358,28,83,33324,Rent,Medium,14841.29942,0
1417,40,77,36902,Own,Compact,12845.27813,0
1328,38,89,36369,Rent,Compact,28305.61629,1
1559,61,91,41112,Rent,Large,51620.27847,0
24119,42,84,-1,Own,Compact,18656.50648,0
928,54,90,39884,Rent,Large,17702.9847,0
3923,41,72,37127,Own,Medium,21643.05466,0
28523,39,79,36640,Own,Medium,36714.56338,0
13417,49,76,38927,Own,Compact,26496.5436,0
21026,55,48,40066,Rent,Compact,21815.2717,0
7806,40,83,36902,Rent,Large,35472.284060000005,0
5993,56,66,40251,Own,Compact,11488.19911,0
8244,44,76,37839,Rent,Large,22222.36449,0
22836,45,87,38052,Own,Compact,21695.37444,0
21006,46,69,38293,Rent,Medium,15811.64535,0
6683,29,74,33664,Rent,Compact,26841.078,0
22371,68,50,42215,Rent,Compact,14272.23952,0
7747,40,88,36890,Rent,Large,16635.62011,0
10409,26,72,32600,Rent,Medium,8219.79575,0
19312,37,63,36118,Own,Medium,62290.67192000001,0
26101,48,89,38712,Own,Large,25598.83334,0
25225,62,76,41280,Own,Medium,15908.2022,0
9118,22,86,30894,Rent,Medium,13135.93348,0
9841,45,85,38069,Rent,Large,9310.743371,0
1301,23,82,31362,Rent,Large,62530.84556,0
17075,26,87,32566,Own,Medium,21828.87935,0
27813,37,84,36099,Own,Medium,24418.58914,0
11220,63,67,41412,Own,Compact,12994.30893,0
9246,57,65,40443,Rent,Compact,5390.163358,0
20542,50,65,39128,Own,Medium,6283.937658,1
29444,25,67,32189,Rent,Medium,45074.79913,0
7594,40,70,36869,Own,Medium,33681.87872,0
24178,65,66,41738,Rent,Medium,40148.28855,0
6229,45,76,38052,Own,Compact,29014.51589,0
23266,75,84,43177,Own,Large,18399.3347,0
20287,34,51,35276,Rent,Medium,18046.62917,0
10929,27,81,32964,Rent,Medium,27741.39144,0
26467,33,68,34974,Own,Medium,13032.63509,0
7767,28,86,33317,Rent,Large,22758.75768,0
16458,44,89,37853,Own,Compact,13853.36057,0
15157,32,83,34640,Rent,Medium,33652.3583,0
9042,42,78,37370,Own,Medium,17423.44402,0
23910,45,92,38074,Rent,Medium,22482.2369,0
21735,39,83,36644,Own,Large,14717.12665,0
13038,53,66,39685,Rent,Large,19751.3057,0
12013,29,43,33655,Rent,Medium,36431.19991,0
20763,47,91,38505,Own,Compact,17305.0314,0
3262,41,61,37114,Rent,Compact,17044.55713,1
23221,22,84,30902,Rent,Large,50770.06202,0
19539,33,59,34957,Own,Compact,7987.667572,0
23838,56,73,40245,Own,Compact,11249.84037,0
13491,62,44,41269,Rent,Medium,11860.1039,0
28264,35,49,35542,Rent,Large,7264.798848,1
26635,44,63,37834,Rent,Compact,19765.02635,0
16547,41,67,37130,Own,Medium,34963.74449,0
12523,54,86,39886,Rent,Medium,16791.01623,0
19731,28,69,33318,Rent,Medium,5223.801233,0
2303,41,65,37118,Own,Medium,18580.68058,0
7679,62,53,41261,Rent,Compact,17550.725440000002,0
11959,63,67,41428,Own,Medium,17352.22218,0
5424,50,74,39115,Own,Medium,46326.87212,0
23982,39,91,36619,Own,Medium,10841.04221,1
10485,23,76,31363,Rent,Compact,33250.42386,0
5154,34,80,35270,Rent,Medium,39640.44922,1
15888,56,73,40255,Own,Large,24946.63551,0
8666,43,70,37603,Rent,Compact,21794.1584,0
22235,27,78,32973,Rent,Medium,33910.33019,0
4424,65,88,41733,Rent,Large,27089.17208,1
24091,44,78,37842,Own,Medium,63128.445470000006,0
9935,59,96,40781,Own,Medium,10698.66045,0
9556,58,67,40597,Own,Medium,26683.55228,1
1159,38,44,36376,Own,Large,9517.592951,1
15419,46,57,38283,Own,Large,14536.493230000002,0
10913,36,74,35830,Rent,Large,40534.35945,0
564,66,91,41905,Rent,Compact,33793.32937,0
1338,44,76,37827,Rent,Medium,59068.33798,0
14728,48,79,38709,Rent,Medium,6480.151454999999,0
11616,45,38,38083,Rent,Large,23406.95782,1
26807,43,71,37597,Rent,Compact,40840.7585,1
13573,40,58,36907,Own,Compact,23623.63285,0
1617,38,58,36371,Rent,Compact,17185.7755,0
91,31,78,34326,Own,Compact,39131.15578,0
21853,50,77,39109,Own,Compact,8405.808031999999,0
15317,29,58,33671,Rent,Medium,13568.9972,0
22054,39,54,36647,Own,Large,16410.94211,0
19309,46,71,38302,Rent,Large,7310.440398000001,1
12591,47,71,38484,Own,Large,53203.55863,0
1705,44,90,37837,Own,Medium,15163.68261,0
27002,33,86,34961,Own,Large,32479.71671,0
14384,51,79,39297,Rent,Large,58141.04181,0
4115,42,85,37389,Own,Compact,14809.99627,1
23323,51,61,39318,Own,Compact,22824.02243,0
3496,46,90,38320,Rent,Medium,26298.51854,0
28985,51,73,39300,Own,Compact,32798.71197,0
23626,64,95,41582,Rent,Medium,9693.653214,0
15735,41,69,37140,Rent,Medium,50065.17824,0
26338,56,82,40244,Own,Compact,26814.04263,0
10794,38,94,36386,Own,Large,19177.20788,0
23861,39,60,36638,Own,Large,35879.1612,0
29483,59,83,40759,Own,Compact,16408.78789,0
5557,32,86,34685,Own,Compact,28158.71596,0
17440,52,60,39509,Rent,Large,31786.1885,0
8983,41,83,37134,Own,Large,5820.041472999999,0
12679,52,62,39507,Own,Large,50899.42487,0
20140,40,77,36884,Own,Large,46273.11859,1
21601,42,91,37379,Rent,Compact,23024.06388,0
27100,24,72,31785,Rent,Medium,11731.21282,1
12627,59,75,40782,Own,Medium,15678.21584,0
534,36,49,35836,Rent,Compact,46432.34615,1
19662,28,83,33313,Rent,Medium,16431.45074,1
14807,50,62,39112,Own,Medium,38734.13389,0
17706,61,87,41096,Rent,Medium,8201.478031999999,0
19905,64,87,41580,Rent,Large,21807.78432,0
7179,52,63,39518,Rent,Large,42111.07213,0
20689,43,70,37613,Own,Large,39462.26455,1
3535,44,79,37842,Rent,Large,17727.50941,0
27906,36,88,35833,Rent,Compact,43215.10939,0
24918,36,67,35829,Rent,Large,18451.69855,0
26493,37,77,36108,Rent,Medium,18927.75962,0
9644,43,71,37598,Rent,Medium,33802.26658,0
8383,40,70,36887,Own,Compact,12988.27241,1
9769,40,87,36895,Own,Compact,38314.19102,0
11230,28,92,33319,Rent,Large,25156.150530000003,0
8127,27,74,32953,Rent,Compact,22874.27046,0
11701,53,30,39703,Rent,Large,31960.45854,0
4474,53,73,39688,Own,Medium,51474.223410000006,1
22464,36,35,35843,Own,Medium,46239.50917,0
22094,41,86,37140,Rent,Compact,8386.670376,0
24187,32,85,34652,Own,Medium,33445.54114,0
19106,46,60,38291,Own,Medium,36070.72109,1
18040,49,94,38905,Own,Large,23701.76756,0
3526,41,72,37143,Own,Compact,8319.458802,1
13991,28,68,33324,Rent,Medium,45885.58805,0
18912,46,71,38303,Own,Large,11438.12534,0
5328,31,49,34333,Own,Medium,16537.135619999997,0
8891,38,45,36382,Own,Large,18971.52979,0
8122,45,79,38075,Rent,Large,12443.88077,1
1192,41,63,37127,Own,Medium,19390.21364,0
12683,49,86,38904,Own,Medium,14842.028580000002,0
2611,34,61,35260,Rent,Large,28192.74568,1
11607,59,73,40778,Own,Large,35863.96449,0
16976,30,84,34012,Own,Large,10808.77562,0
16039,43,97,37619,Rent,Compact,30507.65254,0
19067,52,76,39518,Own,Medium,11591.28945,0
24802,67,32,42049,Rent,Compact,27929.21498,1
21639,42,63,37391,Own,Medium,15522.69212,0
5181,48,94,38730,Rent,Large,15509.005969999998,0
21162,41,88,37127,Own,Compact,31268.89074,0
28708,54,85,39897,Own,Large,41171.31785,0
